,uid,app_date,app_method,app_recipient,ct_credit_product,ct_guarantee,credit_purpose,amount_applied_for_flag,action_taken,census_tract_adr_type,gross_annual_revenue_flag,naics_code_flag,number_of_workers,time_in_business_type,business_ownership_status,num_principal_owners_flag,ct_loan_term_flag,denial_reasons,pricing_interest_rate_type,pricing_adj_index_name,num_principal_owners,pricing_mca_addcost_flag,po_1_ethnicity,po_1_race,po_1_gender_flag,po_2_ethnicity,po_2_race,po_2_gender_flag,po_3_ethnicity,po_3_race,po_3_gender_flag,po_4_ethnicity,po_4_race,po_4_gender_flag,ct_credit_product_ff,ct_guarantee_ff,ct_loan_term,credit_purpose_ff,amount_applied_for,amount_approved,action_taken_date,denial_reasons_ff,pricing_init_rate_period,pricing_fixed_rate,pricing_adj_margin,pricing_adj_index_name_ff,pricing_adj_index_value,pricing_origination_charges,pricing_broker_fees,pricing_initial_charges,pricing_mca_addcost,pricing_prepenalty_allowed,pricing_prepenalty_exists,census_tract_number,gross_annual_revenue,naics_code,time_in_business,po_1_ethnicity_ff,po_1_race_anai_ff,po_1_race_asian_ff,po_1_race_baa_ff,po_1_race_pi_ff,po_1_gender_ff,po_2_ethnicity_ff,po_2_race_anai_ff,po_2_race_asian_ff,po_2_race_baa_ff,po_2_race_pi_ff,po_2_gender_ff,po_3_ethnicity_ff,po_3_race_anai_ff,po_3_race_asian_ff,po_3_race_baa_ff,po_3_race_pi_ff,po_3_gender_ff,po_4_ethnicity_ff,po_4_race_anai_ff,po_4_race_asian_ff,po_4_race_baa_ff,po_4_race_pi_ff,po_4_gender_ff
0,756500M2S1IL8FEQXG76ZNGXON8UK811U,20241120,3,2,977,999,1;6,999,2,3,900,900,988,988,955;3,900,900,999,2,999,4.0,900,988,3,988.0,12;11;1;2,988,1.0,13;14;12;11,988,966.0,2;12;1;977;13,23;1;973;971;33;27,966.0,tempus curabitur natoque convallis vestibulum nam mattis sagittis,,52.0,,,18035825.0,20241209,,,11.087,,,,187102.83,308411.92,192709.04,129340.03,1,2,12103027105.0,19821005.58,312.0,,,,,this shouldnt be here,,,,,,,,ac imperdiet adipiscing dictumst varius phasellus dui natoque fringilla ac suscipit consequat semper in aliquam placerat potenti dolor natoque suspendisse consectetur et auctor enim dis nam sodales nulla justo nulla ligula,,,,,,,magnis ornare facilisis hendrerit iaculis venenatis feugiat egestas nam senectus ornare duis bibendum,bibendum in aliquam pretium rhoncus arcu quisque commodo velit lorem quisque dictum tempus porta hac facilisi orci adipiscing fermentum nisl malesu,,sagittis amet mattis proin cursus elit quam leo nisl iaculis etiam nulla aliquam sagittis adipiscing proin tortor nulla fusce suspendisse habitasse consectetur iaculis maecenas nulla penatibus nisl integer at blandit bibendum duis feugiat parturient ipsum dictum habi,,
1,571700Z32O68J1302P55TNVYG674POU0WXO726V2QEN8,20241029,2,1,988,5;4,4,999,5,2,900,900,2,3,955;3,900,999,999,999,999,2.0,999,2;14;11;1,988,966.0,1,974;44;42;41;5;27;21;35;36;23;33;26;22,966.0,,,,,,,,,,,,,20241204,,,,,,,,,,,999,999,17031823001.0,46153197.28,333.0,,,,,this shouldnt be here,,,,,,,pellentesque nascetur a,,,,,,,,,,,,,
2,87130070RYRQQTLOEK75PUZALEZ48JLDC25,20241106,2,1,4,8;4;11,8,988,1,3,900,988,2,1,3;2,988,988,999,2,999,,999,,,,,,,,,,,,,,,,,,25355057.0,20241205,,,6.936,,,,214064.75,148855.01,368234.93,,1,1,6093001000.0,24965689.89,,41.0,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
3,411200BU4OW917MU2D88WVBQQDO,20241030,2,1,977,999,6;5,999,5,2,900,900,9,3,955,900,988,999,999,999,2.0,999,14;1;13;12;2,1;26;36;35;27;973;24;32,1.0,2;12;977;1;14,43;971;22;4;26;34,966.0,,,,,,,nisi turpis,,,,,,20241221,,,,,,,,,,,999,999,10005051701.0,22326092.56,611.0,,,,,,,rutrum habitasse vitae odio penatibus egestas turpis aliquam convallis magna quam accumsan nam morbi turpis dolor parturient volutpat congue nascetur aenean vel netus blandit placerat quam adipiscing lacinia vestibulum cras curabitur dictumst elementum semper varius consequat morbi dui,tempor ante facilisis felis montes laoreet mus odio egestas elit natoque commodo tempor ultrices potenti laoreet aliquet molestie est feugiat eleifend in odio dis mollis turpis cum sociis montes mauris adipiscing ornare turpis feugiat senectus se,felis gravida tortor feugiat commodo consectetur urna ac dis dui curabitur nisl potenti consequat integer duis eu donec ut volutpat nascetur eros ultrices sit metus tortor eros dictum imperdiet quis gravida etiam donec turpis nisl ipsum imperdie,,,,,,,,,,,,,,,,
4,6532003N7XFW12Z1J810FV4TS1D17MVW6UIF2QUQ,20241114,3,2,5,999,9;977,900,5,2,988,900,7,3,966,900,988,999,999,999,0.0,999,,,,,,,,,,,,,,,,non praesent in purus nunc morbi dignissim phasellus v,32393491.0,,20241202,,,,,,,,,,,999,999,10001041200.0,,486.0,,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
5,537300UMN5NU09187F01JC4AOH535SKCCOSI680,20241120,3,2,977,7,3;11,900,3,2,900,988,5,988,1;3,900,999,7,999,999,1.0,999,1;12;14;977;13,974;1;41;26;22;31;34;33;25;44;27;24;21;37;35;973;4;23;3,1.0,,,,,,,,,,consectetur suscipit id rutrum vitae eleifend ipsum risus consectetur blandit malesuada amet ante fames vulputate etiam dignissim tristique urna phare,,,,75729667.0,,20241121,,,,,,,,,,,999,999,53045961000.0,31796907.04,,,a massa non hendrerit hac dolor praesent massa a posuere netus ultrices habitant mollis urna vive,,,,natoque arcu mi commodo fames hac lacinia condimentum cursus viverra ornare lacinia faucibus venenatis vivamus mollis luctus ante justo bibendum venenatis nascetur augue diam dictumst proin enim jus,habitasse lectus suscipit erat justo vel faucibus amet aenean dui eleifend ultrices nulla eros pulvinar hendrerit suscipit rutrum eget eleifend feugiat feugiat orci mauris nascetur purus ultricies arcu leo nam hac accumsan nibh tortor nunc parturient tortor id urna vulputate,,,,,,,,,,,,,,,,,,
6,291400Z042UDLKQFQ879LUZ0,20241111,3,2,4,999,988,988,2,1,900,988,9,988,2,900,999,999,1,3,2.0,999,13;2;977;11;1,23;43;4,966.0,11,966,988.0,,,,,,,,,,,,13259048.0,20241124,,,,3.1,,5.47,369252.83,245628.03,398384.11,,2,1,29151490200.0,34158593.17,,,nullam varius morbi diam semper convallis neque platea platea sagittis orci luctus fermentum luctus eros sollicitudin lectus consequat dis commodo bibendum sapien faucibus parturient a leo nulla dignissim interdum massa senectus sapien vitae habitant turpis orci ante ,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
7,6462000Y5PT7I86M8K47GMR65CP2FZS,20241104,3,2,1,4;5,9,988,4,3,900,900,988,988,2,988,900,999,999,999,,999,,,,,,,,,,,,,,,70.0,,,,20241217,,,,,,,,,,,999,999,25027756101.0,32314865.69,213.0,,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
8,679800GF44TOGXGIZU21JI4YG14KKAQGL,20241118,2,2,4,4;5;7,988,999,4,2,900,988,5,1,3,988,988,999,999,999,,999,,,,,,,,,,,,,,,,,,,20241124,,,,,,,,,,,999,999,48357950400.0,19792158.04,,43.0,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
9,69470003NYDV48CK6D69RE1TQG01LWHT2NHVO,20241118,3,1,2,999,1,988,3,3,900,900,1,2,1,900,988,4,999,999,1.0,999,13;977;2;14;1,988,1.0,,,,,,,,,,,,,,,,20241119,,,,,,,,,,,999,999,48453001100.0,33664701.65,921.0,,urna leo auctor tortor egestas nascetur eu donec cras neque viverra in quam magna metus etiam nulla vestibulum phasellus sodales dictumst accumsan nisl bibendum luctus vivamus,,,this shouldnt be here,,quis mus euismod erat erat viverra maecenas integer euismod dictumst parturient luctus congue quis turpis morbi laoreet posuere sem felis fermentum habitant pharetra mollis lobortis ligula dolor dolor ultricies accumsan arcu cras orci auctor bibendum tempus netus praesent quis tempor ege,,,,,,,,,,,,,,,,,,
10,382200SEK4O4O81HVG02YZL1MQP6PIDS,20241202,3,1,3,11;3;9,7,999,5,2,988,988,7,1,2,988,900,999,999,999,,999,,,,,,,,,,,,,,,46.0,,,,20241230,,,,,,,,,,,999,999,36101960500.0,,,49.0,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
11,143500LFMZYJL48ZKW2004WT1LDECBL6FF8UYC6CQY07X,20241031,3,1,4,8;4;7;3,988,900,5,2,900,988,6,988,955,900,999,999,999,999,1.0,999,12;11;13;14,966,966.0,,,,,,,,,,,,,,25259082.0,,20241219,,,,,,,,,,,999,999,54051020601.0,44076160.41,,,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
12,1666000M9T0JLWXVFE72VQJU8CHVOE,20241128,3,2,977,6,5,900,2,1,900,900,1,3,966,988,999,999,5,5,,900,,,,,,,,,,,,,dolor lacus euismod ,,,,29318472.0,21839850.0,20241226,,289.0,,2.364,,,286491.39,386332.4,189932.88,136816.57,1,1,48201412900.0,24083381.9,516.0,,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
13,9766001E63FYW13GHF11UQK,20241106,3,1,977,999,3;6,900,4,988,900,988,7,3,2;3,988,900,999,999,999,,999,,,,,,,,,,,,,montes neque etiam egestas faucibus interdum luctus dui ac posuere eros maecenas dui aenean ultrices quam fermentum eget mollis fames ultrices rhoncus penatibus eros dolor ,,74.0,,52952436.0,,20241110,,,,,,,,,,,999,999,,13130572.19,,,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
14,283900GMV5X1QDNK5B689NZI1HMDOYT,20241112,3,1,977,8;2,1;9,988,1,1,900,900,7,2,1;955,988,988,999,1,2,,900,,,,,,,,,,,,,etiam dictum mi dolor eget sapien a nunc laoreet dolor congue nisi enim id felis sodales nullam habitant feugiat gravida aliquam tincidunt lobortis magna vel hac nunc posuere a quam posue,,,,,16354513.0,20241118,,,,3.304,,8.415,234535.25,226472.86,184998.77,202224.08,2,2,17031020701.0,37071695.89,611.0,,,,,this shouldnt be here,,,,,,,,,,,,,,,,,,,,
